Site;Lat;Lon;M2amp;M2phase;M2dir;K1amp;K1phase;K1dir
Juan de Fuca East;48.23;123.53;73.5;124.1;179.8;44.9;21.3;177.2
Race Passage;48.3;123.53;183.6;273.9;39.5;87.1;172.2;40
Active Pass;48.86;123.3;17.3;276.9;45;61.2;163.3;45
Porlier Pass;49.01;123.58;252.5;262.5;60;91.5;162.1;60
Gabriola Passage;49.12;123.7;245.1;256.2;10;77.5;156;10
Dodd Narrows;49.13;123.81;293.3;254.8;115;86.6;155.3;114.4
