From Table 2 of Foreman & Cherniawsky (2009),,
,,
,amp (m),phase (deg UTC)
Q1,0.044,113.8
O1,0.247,116.5
NO1,0,0
P1,0.123,119.3
K1,0.388,121.7
J1,0,0
N2,0.204,349.8
M2,0.986,10
L2,0,0
S2,0.28,31.5
K2,0.077,23.2
ETA2,0,0
