Mean 	2.044004
Latitude 	49.154000
Constituent 	 freq 	 amp (m) 	 amp error 	 phase (deg PST) 	 phase error 
SA   	 0.000114	 0.096756	 0.032410	 338.606342	 23.468397
SSA  	 0.000228	 0.053920	 0.035475	 235.865645	 37.768910
MSM  	 0.001310	 0.005661	 0.024847	 316.619286	 198.932308
MM   	 0.001512	 0.048104	 0.035092	 196.438354	 42.245127
MSF  	 0.002822	 0.016377	 0.031588	 94.694654	 121.248315
MF   	 0.003050	 0.047521	 0.033738	 143.064581	 45.503354
ALP1 	 0.034397	 0.002690	 0.001634	 197.174975	 39.494492
2Q1  	 0.035706	 0.005863	 0.001759	 123.567258	 18.535724
SIG1 	 0.035909	 0.006694	 0.001877	 140.804356	 16.354901
Q1   	 0.037219	 0.044021	 0.002029	 111.246732	 2.418819
RHO1 	 0.037421	 0.009095	 0.001885	 119.181072	 12.598821
O1   	 0.038731	 0.246299	 0.002007	 115.959587	 0.421473
TAU1 	 0.038959	 0.003786	 0.002623	 80.968884	 38.788258
BET1 	 0.040040	 0.000970	 0.001409	 313.917972	 105.866139
NO1  	 0.040269	 0.027822	 0.002904	 112.173059	 6.148605
CHI1 	 0.040471	 0.002939	 0.001844	 111.171184	 34.153018
PI1  	 0.041439	 0.006048	 0.001970	 127.558341	 18.900241
P1   	 0.041553	 0.124805	 0.002095	 117.954359	 0.944062
S1   	 0.041667	 0.015981	 0.003364	 117.010525	 10.423177
K1   	 0.041781	 0.390671	 0.002076	 120.702567	 0.279357
PSI1 	 0.041895	 0.002055	 0.001818	 222.939347	 63.800069
PHI1 	 0.042009	 0.006396	 0.002390	 109.658214	 21.996719
THE1 	 0.043091	 0.005099	 0.001916	 141.387702	 19.666123
J1   	 0.043293	 0.022157	 0.001547	 121.452896	 4.825456
SO1  	 0.044603	 0.007413	 0.001926	 144.694494	 12.566844
OO1  	 0.044831	 0.013352	 0.001369	 138.321753	 6.971764
UPS1 	 0.046343	 0.002391	 0.001228	 167.552430	 30.001291
OQ2  	 0.075975	 0.001696	 0.001233	 312.485373	 40.011802
EPS2 	 0.076177	 0.002903	 0.001322	 351.641348	 28.291180
2N2  	 0.077487	 0.020106	 0.001479	 324.753568	 3.914542
MU2  	 0.077689	 0.017577	 0.001591	 340.382082	 5.288416
N2   	 0.078999	 0.202318	 0.001345	 347.851503	 0.477727
NU2  	 0.079202	 0.040183	 0.001460	 351.177897	 2.247385
H1   	 0.080397	 0.001143	 0.001453	 98.447222	 74.264531
M2   	 0.080511	 0.986150	 0.001537	 8.331282	 0.095026
H2   	 0.080625	 0.003224	 0.001384	 342.407526	 29.132929
MKS2 	 0.080740	 0.000365	 0.000929	 74.750908	 167.982148
LDA2 	 0.081821	 0.007562	 0.001470	 2.466954	 11.793140
L2   	 0.082024	 0.024271	 0.001183	 13.833307	 2.703908
T2   	 0.083219	 0.017905	 0.001430	 21.672176	 5.010663
S2   	 0.083333	 0.283239	 0.001435	 29.695490	 0.275201
R2   	 0.083447	 0.001081	 0.001154	 338.108302	 57.019302
K2   	 0.083561	 0.077013	 0.001192	 20.950066	 0.769086
MSN2 	 0.084845	 0.004493	 0.001343	 194.143192	 20.327575
ETA2 	 0.085074	 0.003135	 0.000925	 17.190436	 17.891348
MO3  	 0.119242	 0.006521	 0.000939	 73.526961	 7.750830
M3   	 0.120767	 0.000186	 0.000657	 331.332704	 177.825512
SO3  	 0.122064	 0.004151	 0.000755	 92.240774	 12.849152
MK3  	 0.122292	 0.007668	 0.000938	 92.913303	 7.187199
SK3  	 0.125114	 0.003665	 0.000919	 86.077876	 14.214760
MN4  	 0.159511	 0.007696	 0.000894	 356.488894	 6.295869
M4   	 0.161023	 0.018758	 0.000947	 13.124065	 2.820109
SN4  	 0.162333	 0.001670	 0.000785	 15.923771	 30.067216
MS4  	 0.163845	 0.010185	 0.000872	 33.630109	 4.009417
MK4  	 0.164073	 0.003262	 0.000609	 31.868577	 12.035806
S4   	 0.166667	 0.001243	 0.000780	 45.715422	 36.724429
SK4  	 0.166895	 0.001634	 0.000642	 60.576997	 20.546785
2MK5 	 0.202804	 0.001921	 0.000694	 111.051940	 24.300510
2SK5 	 0.208447	 0.000623	 0.000725	 189.510194	 85.498480
2MN6 	 0.240022	 0.003484	 0.000668	 38.996270	 10.504651
M6   	 0.241534	 0.005128	 0.000682	 52.215298	 7.102678
2MS6 	 0.244356	 0.004390	 0.000656	 67.670504	 8.237917
2MK6 	 0.244584	 0.001795	 0.000499	 51.927678	 16.214234
2SM6 	 0.247178	 0.001085	 0.000664	 77.934963	 31.852504
MSK6 	 0.247406	 0.000705	 0.000482	 57.909866	 41.559559
3MK7 	 0.283315	 0.001566	 0.000616	 119.979827	 25.963253
M8   	 0.322046	 0.001817	 0.000489	 44.146837	 17.354349
