Mean 	2.863674
Latitude 	50.722000
Constituent 	 freq 	 amp (m) 	 amp error 	 phase (deg PST) 	 phase error 
SA   	 0.000114	 0.079520	 0.036595	 333.995514	 26.661014
SSA  	 0.000228	 0.047897	 0.037681	 232.921431	 45.319654
MSM  	 0.001310	 0.008609	 0.025630	 255.072488	 157.073190
MM   	 0.001512	 0.037746	 0.031941	 205.620757	 50.774232
MSF  	 0.002822	 0.015444	 0.031045	 77.989313	 121.596301
MF   	 0.003050	 0.045124	 0.034417	 141.545763	 43.709237
ALP1 	 0.034397	 0.002217	 0.001885	 202.865426	 51.684955
2Q1  	 0.035706	 0.006179	 0.002142	 132.693732	 17.769721
SIG1 	 0.035909	 0.008273	 0.001986	 152.851865	 14.262331
Q1   	 0.037219	 0.051931	 0.001806	 119.430312	 2.094702
RHO1 	 0.037421	 0.009901	 0.002083	 126.298753	 11.807069
O1   	 0.038731	 0.302629	 0.002176	 123.173856	 0.463865
TAU1 	 0.038959	 0.002791	 0.003254	 233.459998	 72.584256
BET1 	 0.040040	 0.001247	 0.001670	 194.072667	 93.079262
NO1  	 0.040269	 0.034181	 0.003402	 123.015624	 5.638095
CHI1 	 0.040471	 0.005043	 0.001874	 134.694826	 22.423830
PI1  	 0.041439	 0.009356	 0.002700	 123.537944	 14.177600
P1   	 0.041553	 0.159291	 0.002230	 127.678082	 0.879005
S1   	 0.041667	 0.022414	 0.003355	 86.968593	 9.359664
K1   	 0.041781	 0.502038	 0.001969	 130.591854	 0.264783
PSI1 	 0.041895	 0.002251	 0.001952	 11.325232	 56.423764
PHI1 	 0.042009	 0.009485	 0.003005	 122.538225	 14.481179
THE1 	 0.043091	 0.003098	 0.002203	 154.808127	 40.908105
J1   	 0.043293	 0.027118	 0.002084	 135.616427	 4.259037
SO1  	 0.044603	 0.005918	 0.001992	 172.514366	 18.361525
OO1  	 0.044831	 0.018085	 0.001502	 152.959675	 5.181122
UPS1 	 0.046343	 0.002805	 0.001410	 189.156591	 32.606458
OQ2  	 0.075975	 0.002728	 0.001852	 321.384253	 41.193170
EPS2 	 0.076177	 0.005954	 0.002103	 344.142893	 21.649669
2N2  	 0.077487	 0.026623	 0.002143	 339.498735	 4.435762
MU2  	 0.077689	 0.032548	 0.002206	 353.815483	 3.865589
N2   	 0.078999	 0.272578	 0.002151	 1.573306	 0.482772
NU2  	 0.079202	 0.053485	 0.002184	 4.806146	 2.292718
H1   	 0.080397	 0.000753	 0.001723	 243.353080	 138.865235
M2   	 0.080511	 1.326299	 0.002312	 21.881946	 0.099582
H2   	 0.080625	 0.006801	 0.002335	 3.061026	 20.322167
MKS2 	 0.080740	 0.000760	 0.001527	 185.603421	 110.475947
LDA2 	 0.081821	 0.007024	 0.002258	 24.251058	 19.899350
L2   	 0.082024	 0.029677	 0.001913	 30.983699	 3.058639
T2   	 0.083219	 0.028121	 0.002615	 35.360759	 4.779158
S2   	 0.083333	 0.422772	 0.002227	 43.749665	 0.318377
R2   	 0.083447	 0.001535	 0.001815	 314.371744	 74.420261
K2   	 0.083561	 0.111495	 0.001734	 35.006631	 0.977410
MSN2 	 0.084845	 0.002934	 0.002590	 189.974124	 41.961712
ETA2 	 0.085074	 0.006041	 0.001314	 49.040996	 15.034788
MO3  	 0.119242	 0.017139	 0.002480	 51.400420	 7.832694
M3   	 0.120767	 0.009890	 0.002411	 318.474444	 14.439644
SO3  	 0.122064	 0.006238	 0.002245	 66.048291	 19.787795
MK3  	 0.122292	 0.009502	 0.002476	 59.019617	 13.851725
SK3  	 0.125114	 0.010701	 0.002144	 91.494042	 12.935165
MN4  	 0.159511	 0.000974	 0.001342	 166.672654	 78.892168
M4   	 0.161023	 0.002176	 0.001271	 311.084973	 35.604206
SN4  	 0.162333	 0.000419	 0.000899	 145.632708	 144.213157
MS4  	 0.163845	 0.001946	 0.001357	 91.554512	 38.779511
MK4  	 0.164073	 0.003404	 0.001026	 28.744312	 17.549485
S4   	 0.166667	 0.001434	 0.001190	 145.082298	 51.886941
SK4  	 0.166895	 0.001463	 0.000933	 179.146801	 37.795431
2MK5 	 0.202804	 0.005346	 0.001007	 239.427247	 12.168894
2SK5 	 0.208447	 0.000710	 0.000858	 316.273079	 80.091518
2MN6 	 0.240022	 0.002057	 0.000479	 231.959983	 13.102013
M6   	 0.241534	 0.004026	 0.000436	 258.386639	 5.920104
2MS6 	 0.244356	 0.002912	 0.000425	 284.936076	 8.574027
2MK6 	 0.244584	 0.001195	 0.000339	 268.693298	 16.371107
2SM6 	 0.247178	 0.000621	 0.000392	 332.742476	 38.211874
MSK6 	 0.247406	 0.000535	 0.000346	 313.977872	 41.294595
3MK7 	 0.283315	 0.000396	 0.000325	 8.410481	 55.069676
M8   	 0.322046	 0.000896	 0.000337	 38.624569	 23.584695
