Mean 	2.915135
Latitude 	50.722000
Constituent 	 freq 	 amp (m) 	 amp error 	 phase (deg PST) 	 phase error 
SA   	 0.000114	 0.092983	 0.032730	 26.637214	 16.438842
SSA  	 0.000228	 0.029836	 0.025770	 133.146135	 59.852844
MSM  	 0.001310	 0.005635	 0.023090	 20.204699	 215.882284
MM   	 0.001512	 0.054922	 0.030792	 248.117985	 34.005879
MSF  	 0.002822	 0.016886	 0.027091	 257.086280	 96.364790
MF   	 0.003050	 0.028753	 0.034328	 174.414700	 65.537512
ALP1 	 0.034397	 0.002281	 0.002131	 159.903389	 53.168382
2Q1  	 0.035706	 0.007124	 0.001978	 126.514712	 17.214877
SIG1 	 0.035909	 0.006802	 0.002061	 128.840726	 14.761803
Q1   	 0.037219	 0.053145	 0.002094	 122.594687	 2.220810
RHO1 	 0.037421	 0.012175	 0.002075	 131.575099	 10.263508
O1   	 0.038731	 0.302879	 0.002027	 123.775973	 0.383627
TAU1 	 0.038959	 0.002017	 0.002738	 133.328068	 83.218185
BET1 	 0.040040	 0.001837	 0.001922	 115.718642	 48.691319
NO1  	 0.040269	 0.022107	 0.002282	 116.685678	 5.799697
CHI1 	 0.040471	 0.003055	 0.002189	 127.072143	 37.971265
PI1  	 0.041439	 0.008089	 0.002656	 144.723865	 17.549235
P1   	 0.041553	 0.160744	 0.002171	 128.446500	 0.854538
S1   	 0.041667	 0.015665	 0.003773	 101.530442	 13.445979
K1   	 0.041781	 0.502422	 0.002262	 130.408400	 0.250171
PSI1 	 0.041895	 0.007743	 0.002322	 43.880032	 17.835434
PHI1 	 0.042009	 0.010085	 0.002854	 138.852014	 13.136851
THE1 	 0.043091	 0.005883	 0.001870	 137.772258	 21.251161
J1   	 0.043293	 0.032921	 0.002087	 138.915032	 3.760243
SO1  	 0.044603	 0.004080	 0.001997	 152.477418	 29.879271
OO1  	 0.044831	 0.017904	 0.001501	 154.347517	 4.909662
UPS1 	 0.046343	 0.003642	 0.001505	 171.639554	 24.311282
OQ2  	 0.075975	 0.004920	 0.003183	 325.190929	 41.236184
EPS2 	 0.076177	 0.006541	 0.003234	 345.774685	 27.540009
2N2  	 0.077487	 0.037592	 0.003389	 344.822013	 4.531168
MU2  	 0.077689	 0.035406	 0.002865	 353.823338	 5.088149
N2   	 0.078999	 0.273314	 0.003055	 2.743220	 0.667738
NU2  	 0.079202	 0.054580	 0.002801	 2.065974	 2.878690
H1   	 0.080397	 0.004360	 0.003058	 173.801696	 40.354027
M2   	 0.080511	 1.344402	 0.003118	 21.922665	 0.115781
H2   	 0.080625	 0.006121	 0.002771	 337.244331	 26.422035
MKS2 	 0.080740	 0.001675	 0.002007	 253.597816	 81.246212
LDA2 	 0.081821	 0.008967	 0.002965	 29.637638	 18.768194
L2   	 0.082024	 0.024090	 0.002232	 37.115997	 5.467478
T2   	 0.083219	 0.026090	 0.002452	 35.296052	 6.079650
S2   	 0.083333	 0.425296	 0.003493	 43.907422	 0.411662
R2   	 0.083447	 0.002117	 0.002044	 62.321137	 64.283532
K2   	 0.083561	 0.114137	 0.002209	 35.070927	 1.111422
MSN2 	 0.084845	 0.004911	 0.002710	 116.223549	 34.717257
ETA2 	 0.085074	 0.011927	 0.002192	 36.076827	 10.335162
MO3  	 0.119242	 0.016612	 0.002180	 60.412900	 8.888583
M3   	 0.120767	 0.003114	 0.002858	 292.391613	 44.996114
SO3  	 0.122064	 0.006803	 0.002181	 69.944882	 21.513836
MK3  	 0.122292	 0.010191	 0.002337	 55.176780	 15.553487
SK3  	 0.125114	 0.009545	 0.002467	 87.883564	 13.360364
MN4  	 0.159511	 0.000733	 0.001290	 151.911041	 127.534218
M4   	 0.161023	 0.002123	 0.001413	 273.160108	 39.023380
SN4  	 0.162333	 0.000355	 0.001144	 133.046422	 196.417651
MS4  	 0.163845	 0.000902	 0.001233	 129.607212	 93.746447
MK4  	 0.164073	 0.002849	 0.001329	 14.619279	 25.347758
S4   	 0.166667	 0.000513	 0.001011	 139.847031	 133.983520
SK4  	 0.166895	 0.001404	 0.001128	 177.470078	 45.572059
2MK5 	 0.202804	 0.005788	 0.001136	 236.178162	 10.552802
2SK5 	 0.208447	 0.000372	 0.000800	 334.893737	 136.721418
2MN6 	 0.240022	 0.002053	 0.000398	 232.311060	 11.694620
M6   	 0.241534	 0.004039	 0.000395	 268.600908	 6.519217
2MS6 	 0.244356	 0.002793	 0.000404	 296.085253	 8.484578
2MK6 	 0.244584	 0.000988	 0.000305	 282.021279	 19.183991
2SM6 	 0.247178	 0.000894	 0.000349	 328.595005	 23.807082
MSK6 	 0.247406	 0.000486	 0.000303	 330.786661	 41.389844
3MK7 	 0.283315	 0.000111	 0.000262	 63.742252	 179.042382
M8   	 0.322046	 0.000790	 0.000377	 61.109002	 30.175487
