Mean 	2.110716
Latitude 	49.154000
Constituent 	 freq 	 amp (m) 	 amp error 	 phase (deg PST) 	 phase error 
SA   	 0.000114	 0.164257	 0.045679	 15.744887	 17.567790
SSA  	 0.000228	 0.038497	 0.043180	 191.195373	 68.629793
MSM  	 0.001310	 0.060494	 0.047917	 62.234383	 44.990388
MM   	 0.001512	 0.008647	 0.034698	 113.450316	 203.613637
MSF  	 0.002822	 0.020012	 0.034847	 104.296060	 133.605016
MF   	 0.003050	 0.027643	 0.041869	 220.901473	 97.367748
ALP1 	 0.034397	 0.002304	 0.001940	 86.066655	 45.461592
2Q1  	 0.035706	 0.006657	 0.001976	 134.920158	 15.487521
SIG1 	 0.035909	 0.007301	 0.001916	 113.871133	 15.517496
Q1   	 0.037219	 0.045893	 0.001924	 116.208222	 2.385934
RHO1 	 0.037421	 0.009289	 0.001906	 108.943430	 11.813189
O1   	 0.038731	 0.246260	 0.001915	 116.023003	 0.425939
TAU1 	 0.038959	 0.007325	 0.002596	 106.041951	 22.818363
BET1 	 0.040040	 0.003720	 0.001975	 132.864249	 25.644610
NO1  	 0.040269	 0.021030	 0.001379	 108.664213	 3.917876
CHI1 	 0.040471	 0.001998	 0.001875	 108.518012	 52.091370
PI1  	 0.041439	 0.006101	 0.002718	 139.564978	 21.019588
P1   	 0.041553	 0.121594	 0.002186	 118.522355	 1.060768
S1   	 0.041667	 0.018448	 0.003297	 133.643567	 10.411093
K1   	 0.041781	 0.388604	 0.002160	 121.046851	 0.292094
PSI1 	 0.041895	 0.006322	 0.002519	 326.252313	 20.724722
PHI1 	 0.042009	 0.006895	 0.002473	 123.927079	 20.167516
THE1 	 0.043091	 0.004994	 0.001985	 126.162531	 18.726840
J1   	 0.043293	 0.024878	 0.001954	 122.711585	 4.628354
SO1  	 0.044603	 0.006085	 0.001826	 131.195017	 16.389554
OO1  	 0.044831	 0.014525	 0.001130	 141.228451	 4.755125
UPS1 	 0.046343	 0.002799	 0.001230	 172.833505	 24.912537
OQ2  	 0.075975	 0.002962	 0.002122	 341.280080	 47.922463
EPS2 	 0.076177	 0.003486	 0.002365	 12.397869	 36.723552
2N2  	 0.077487	 0.022754	 0.002287	 343.384079	 5.898710
MU2  	 0.077689	 0.018294	 0.002163	 344.189970	 6.929748
N2   	 0.078999	 0.201366	 0.002322	 349.212704	 0.601736
NU2  	 0.079202	 0.041361	 0.002121	 352.448647	 2.976449
H1   	 0.080397	 0.007772	 0.002280	 172.127065	 16.185877
M2   	 0.080511	 0.986806	 0.001994	 8.662651	 0.122604
H2   	 0.080625	 0.007325	 0.002200	 214.411600	 17.439455
MKS2 	 0.080740	 0.000863	 0.001113	 34.480908	 105.001835
LDA2 	 0.081821	 0.009275	 0.002347	 5.837081	 13.429809
L2   	 0.082024	 0.029289	 0.002863	 25.229314	 6.385190
T2   	 0.083219	 0.018976	 0.002011	 26.328067	 6.336875
S2   	 0.083333	 0.281069	 0.002163	 30.325425	 0.442443
R2   	 0.083447	 0.004700	 0.001768	 28.761973	 23.014128
K2   	 0.083561	 0.076667	 0.001414	 20.638608	 1.234143
MSN2 	 0.084845	 0.002948	 0.002230	 140.545755	 41.343940
ETA2 	 0.085074	 0.004800	 0.001292	 10.158233	 17.940077
MO3  	 0.119242	 0.006473	 0.000741	 79.190987	 8.360862
M3   	 0.120767	 0.001765	 0.001305	 230.215705	 32.566445
SO3  	 0.122064	 0.003624	 0.000828	 98.468493	 14.692312
MK3  	 0.122292	 0.006846	 0.000989	 90.393073	 7.218420
SK3  	 0.125114	 0.003555	 0.000780	 87.398060	 14.470003
MN4  	 0.159511	 0.008089	 0.000878	 352.801095	 6.133095
M4   	 0.161023	 0.018875	 0.001025	 15.786562	 2.427678
SN4  	 0.162333	 0.001722	 0.000870	 37.936418	 24.068995
MS4  	 0.163845	 0.009584	 0.000961	 33.198979	 5.231660
MK4  	 0.164073	 0.003211	 0.000693	 31.010340	 11.774243
S4   	 0.166667	 0.001194	 0.000726	 30.486734	 34.851353
SK4  	 0.166895	 0.001230	 0.000597	 79.348782	 27.936245
2MK5 	 0.202804	 0.002110	 0.000821	 111.241114	 20.637023
2SK5 	 0.208447	 0.000626	 0.000723	 151.522299	 82.750035
2MN6 	 0.240022	 0.003545	 0.000597	 27.760276	 10.595444
M6   	 0.241534	 0.004640	 0.000615	 48.862933	 8.664068
2MS6 	 0.244356	 0.004320	 0.000598	 59.234084	 8.629879
2MK6 	 0.244584	 0.001946	 0.000574	 52.115662	 15.719889
2SM6 	 0.247178	 0.001039	 0.000650	 87.578122	 31.356408
MSK6 	 0.247406	 0.000823	 0.000439	 62.962026	 35.972399
3MK7 	 0.283315	 0.001478	 0.000652	 129.406285	 25.214575
M8   	 0.322046	 0.002782	 0.000530	 47.014537	 10.573603
