Mean 	2.078962
Latitude 	49.154000
Constituent 	 freq 	 amp (m) 	 amp error 	 phase (deg PST) 	 phase error 
SA   	 0.000114	 0.085188	 0.039990	 38.768256	 25.229569
SSA  	 0.000228	 0.057395	 0.034254	 355.316889	 36.990099
MSM  	 0.001310	 0.032098	 0.036210	 340.053746	 61.410065
MM   	 0.001512	 0.006482	 0.026320	 30.237704	 197.029779
MSF  	 0.002822	 0.038071	 0.033300	 258.710720	 55.853379
MF   	 0.003050	 0.033248	 0.033301	 193.097073	 70.912113
ALP1 	 0.034397	 0.001041	 0.001730	 298.907368	 109.273754
2Q1  	 0.035706	 0.006440	 0.002221	 135.354106	 19.749294
SIG1 	 0.035909	 0.007361	 0.002041	 127.768937	 14.624206
Q1   	 0.037219	 0.045448	 0.002213	 108.496158	 2.868328
RHO1 	 0.037421	 0.005728	 0.002067	 115.870354	 22.211378
O1   	 0.038731	 0.246824	 0.002172	 115.942263	 0.481559
TAU1 	 0.038959	 0.004650	 0.001818	 132.762513	 26.580804
BET1 	 0.040040	 0.001794	 0.001689	 79.364034	 66.939252
NO1  	 0.040269	 0.016207	 0.001593	 127.970717	 6.548657
CHI1 	 0.040471	 0.004813	 0.002134	 85.531218	 28.186348
PI1  	 0.041439	 0.004911	 0.001946	 116.682286	 25.162034
P1   	 0.041553	 0.122085	 0.002180	 118.244332	 1.141012
S1   	 0.041667	 0.017595	 0.002739	 116.835368	 9.214136
K1   	 0.041781	 0.389315	 0.002116	 121.070456	 0.321086
PSI1 	 0.041895	 0.002416	 0.002118	 189.915523	 49.674784
PHI1 	 0.042009	 0.006717	 0.002076	 115.230442	 14.578348
THE1 	 0.043091	 0.003797	 0.002144	 101.115330	 32.085267
J1   	 0.043293	 0.023544	 0.002080	 132.261549	 5.853538
SO1  	 0.044603	 0.006388	 0.001833	 158.954115	 17.216239
OO1  	 0.044831	 0.012469	 0.001870	 138.042050	 7.988338
UPS1 	 0.046343	 0.001164	 0.001737	 130.480480	 101.924866
OQ2  	 0.075975	 0.002064	 0.001679	 338.388839	 40.737407
EPS2 	 0.076177	 0.003919	 0.001448	 350.200679	 21.852921
2N2  	 0.077487	 0.023218	 0.001359	 324.928905	 4.315027
MU2  	 0.077689	 0.018113	 0.001504	 337.999264	 4.397244
N2   	 0.078999	 0.205116	 0.001540	 348.792889	 0.431127
NU2  	 0.079202	 0.039550	 0.001707	 352.892002	 2.046174
H1   	 0.080397	 0.003014	 0.001419	 347.264574	 30.907288
M2   	 0.080511	 0.985503	 0.001639	 8.588027	 0.085108
H2   	 0.080625	 0.005372	 0.001665	 296.432252	 14.997387
MKS2 	 0.080740	 0.001727	 0.001577	 133.178028	 48.001655
LDA2 	 0.081821	 0.007386	 0.001516	 7.659901	 12.147222
L2   	 0.082024	 0.021275	 0.001937	 11.378905	 4.274622
T2   	 0.083219	 0.017861	 0.001641	 23.336840	 4.706693
S2   	 0.083333	 0.284638	 0.001562	 30.138051	 0.310617
R2   	 0.083447	 0.000614	 0.001008	 2.224730	 115.242046
K2   	 0.083561	 0.076780	 0.001519	 22.199345	 1.119025
MSN2 	 0.084845	 0.001476	 0.001600	 177.004275	 54.674495
ETA2 	 0.085074	 0.005284	 0.001483	 43.659624	 19.275007
MO3  	 0.119242	 0.005493	 0.001084	 77.288300	 9.752708
M3   	 0.120767	 0.003441	 0.001028	 325.227026	 17.015959
SO3  	 0.122064	 0.004668	 0.000974	 84.583818	 11.869086
MK3  	 0.122292	 0.007496	 0.000980	 93.477211	 7.335372
SK3  	 0.125114	 0.003867	 0.000982	 80.060645	 13.241899
MN4  	 0.159511	 0.008446	 0.000882	 352.310776	 6.238196
M4   	 0.161023	 0.019686	 0.000700	 15.168149	 2.545909
SN4  	 0.162333	 0.001992	 0.000891	 25.389957	 26.081311
MS4  	 0.163845	 0.010439	 0.000936	 34.750641	 5.043470
MK4  	 0.164073	 0.003816	 0.000933	 27.979271	 12.180745
S4   	 0.166667	 0.000953	 0.000799	 53.976311	 46.782405
SK4  	 0.166895	 0.001781	 0.000910	 80.004749	 28.421113
2MK5 	 0.202804	 0.002016	 0.000791	 111.238627	 22.837193
2SK5 	 0.208447	 0.000382	 0.000615	 193.148070	 114.548600
2MN6 	 0.240022	 0.003094	 0.000621	 30.131949	 11.509083
M6   	 0.241534	 0.004734	 0.000637	 43.461690	 7.357226
2MS6 	 0.244356	 0.004651	 0.000615	 56.946144	 7.371681
2MK6 	 0.244584	 0.001920	 0.000622	 45.145513	 21.689963
2SM6 	 0.247178	 0.000847	 0.000635	 86.649146	 39.308863
MSK6 	 0.247406	 0.001238	 0.000640	 89.091760	 24.720564
3MK7 	 0.283315	 0.001697	 0.000655	 132.831153	 21.356647
M8   	 0.322046	 0.002312	 0.000486	 52.505217	 12.891098
